cell_id,lat,lon,year,nTrees,meanAge,meanHeight,temperature,precipitation
c155,35.8930,-119.3629,2024,10,1.0,0.8123,312.7072,572.9768
c174,35.8930,-118.7657,2024,10,1.0,0.7978,311.4888,451.1201
c194,35.8930,-118.1371,2024,10,1.0,0.0045,311.5572,313.2179
c755,36.2650,-119.3629,2024,10,1.0,0.9828,300.4544,600.9132
c774,36.2650,-118.7657,2024,10,1.0,0.0871,300.0048,360.7234
c794,36.2650,-118.1371,2024,10,1.0,0.0000,299.2853,213.2412
c1355,36.6370,-119.3629,2024,10,1.0,0.8049,288.1865,454.3565
c1374,36.6370,-118.7657,2024,10,1.0,0.3695,287.9903,395.8893
c1394,36.6370,-118.1371,2024,10,1.0,0.0002,287.2515,264.1091
c155,35.8930,-119.3629,2025,10,2.0,1.6134,312.8112,483.5960
c174,35.8930,-118.7657,2025,10,2.0,1.6016,312.5009,459.2918
c194,35.8930,-118.1371,2025,10,2.0,0.0379,312.3185,347.1214
c755,36.2650,-119.3629,2025,10,2.0,1.9541,299.8527,529.6723
c774,36.2650,-118.7657,2025,10,2.0,0.2944,299.0966,377.6989
c794,36.2650,-118.1371,2025,10,2.0,0.0458,300.3747,349.4089
c1355,36.6370,-119.3629,2025,10,2.0,1.6314,288.0665,516.9232
c1374,36.6370,-118.7657,2025,10,2.0,1.0327,287.7795,423.6895
c1394,36.6370,-118.1371,2025,10,2.0,0.0003,287.9972,247.0823
c155,35.8930,-119.3629,2026,10,3.0,2.4487,312.2368,498.9519
c174,35.8930,-118.7657,2026,10,3.0,2.4710,311.3333,479.8158
c194,35.8930,-118.1371,2026,10,3.0,0.0458,311.8668,322.2692
c755,36.2650,-119.3629,2026,10,3.0,2.9230,299.3511,488.8216
c774,36.2650,-118.7657,2026,10,3.0,0.4112,299.5885,366.8110
c794,36.2650,-118.1371,2026,10,3.0,0.0517,300.3510,314.5368
c1355,36.6370,-119.3629,2026,10,3.0,2.4799,289.0877,494.2988
c1374,36.6370,-118.7657,2026,10,3.0,1.7357,287.8287,429.6189
c1394,36.6370,-118.1371,2026,10,3.0,0.0064,288.2294,317.8961
c155,35.8930,-119.3629,2027,10,4.0,3.2991,311.6186,560.5066
c174,35.8930,-118.7657,2027,10,4.0,3.2081,312.4532,434.4406
c194,35.8930,-118.1371,2027,10,4.0,0.0571,312.1327,328.3736
c755,36.2650,-119.3629,2027,10,4.0,3.9215,300.6123,479.2464
c774,36.2650,-118.7657,2027,10,4.0,1.1280,300.4362,415.9980
c794,36.2650,-118.1371,2027,10,4.0,0.0534,300.6147,293.0636
c1355,36.6370,-119.3629,2027,10,4.0,3.3211,288.3681,482.1152
c1374,36.6370,-118.7657,2027,10,4.0,2.5730,287.6154,508.8136
c1394,36.6370,-118.1371,2027,10,4.0,0.0085,288.4606,299.8601
c155,35.8930,-119.3629,2028,10,5.0,4.1344,312.1245,510.2679
c174,35.8930,-118.7657,2028,10,5.0,3.3473,311.9357,373.1991
c194,35.8930,-118.1371,2028,10,5.0,0.0573,312.9657,255.8052
c755,36.2650,-119.3629,2028,10,5.0,4.8924,300.1835,479.4451
c774,36.2650,-118.7657,2028,10,5.0,1.3905,300.7777,382.9579
c794,36.2650,-118.1371,2028,10,5.0,0.0738,300.4785,335.1370
c1355,36.6370,-119.3629,2028,10,5.0,4.1564,288.2651,564.7405
c1374,36.6370,-118.7657,2028,10,5.0,3.0306,288.1943,403.6477
c1394,36.6370,-118.1371,2028,10,5.0,0.0099,288.1821,293.1756
c155,35.8930,-119.3629,2029,10,6.0,4.9469,312.5465,496.7548
c174,35.8930,-118.7657,2029,10,6.0,3.9433,312.1091,416.6915
