cell_id,lat,lon,year,nTrees,meanAge,meanHeight,temperature,precipitation
c155,35.8930,-119.3629,2024,10,0.0,0.0000,312.7072,572.9768
c174,35.8930,-118.7657,2024,10,0.0,0.0000,311.4888,451.1201
c194,35.8930,-118.1371,2024,10,0.0,0.0000,311.5572,313.2179
c755,36.2650,-119.3629,2024,10,0.0,0.0000,300.4544,600.9132
c774,36.2650,-118.7657,2024,10,0.0,0.0000,300.0048,360.7234
c794,36.2650,-118.1371,2024,10,0.0,0.0000,299.2853,213.2412
c1355,36.6370,-119.3629,2024,10,0.0,0.0000,288.1865,454.3565
c1374,36.6370,-118.7657,2024,10,0.0,0.0000,287.9903,395.8893
c1394,36.6370,-118.1371,2024,10,0.0,0.0000,287.2515,264.1091
c155,35.8930,-119.3629,2025,10,1.0,0.8040,312.8112,483.5960
c174,35.8930,-118.7657,2025,10,1.0,0.7862,312.5009,459.2918
c194,35.8930,-118.1371,2025,10,1.0,0.0324,312.3185,347.1214
c755,36.2650,-119.3629,2025,10,1.0,0.9826,299.8527,529.6723
c774,36.2650,-118.7657,2025,10,1.0,0.2089,299.0966,377.6989
c794,36.2650,-118.1371,2025,10,1.0,0.0463,300.3747,349.4089
c1355,36.6370,-119.3629,2025,10,1.0,0.8319,288.0665,516.9232
c1374,36.6370,-118.7657,2025,10,1.0,0.6740,287.7795,423.6895
c1394,36.6370,-118.1371,2025,10,1.0,0.0001,287.9972,247.0823
c155,35.8930,-119.3629,2026,10,2.0,1.6241,312.2368,498.9519
c174,35.8930,-118.7657,2026,10,2.0,1.6366,311.3333,479.8158
c194,35.8930,-118.1371,2026,10,2.0,NaN,311.8668,322.2692
c755,36.2650,-119.3629,2026,10,2.0,1.9492,299.3511,488.8216
c774,36.2650,-118.7657,2026,10,2.0,0.3288,299.5885,366.8110
c794,36.2650,-118.1371,2026,10,2.0,0.0522,300.3510,314.5368
c1355,36.6370,-119.3629,2026,10,2.0,1.6816,289.0877,494.2988
c1374,36.6370,-118.7657,2026,10,2.0,1.3793,287.8287,429.6189
c1394,36.6370,-118.1371,2026,10,2.0,0.0061,288.2294,317.8961
c155,35.8930,-119.3629,2027,10,3.0,2.4780,311.6186,560.5066
c174,35.8930,-118.7657,2027,10,3.0,2.3879,312.4532,434.4406
c194,35.8930,-118.1371,2027,10,3.0,0.0516,312.1327,328.3736
c755,36.2650,-119.3629,2027,10,3.0,2.9145,300.6123,479.2464
c774,36.2650,-118.7657,2027,10,3.0,1.0320,300.4362,415.9980
c794,36.2650,-118.1371,2027,10,3.0,0.0538,300.6147,293.0636
c1355,36.6370,-119.3629,2027,10,3.0,2.5094,288.3681,482.1152
c1374,36.6370,-118.7657,2027,10,3.0,2.1943,287.6154,508.8136
c1394,36.6370,-118.1371,2027,10,3.0,0.0082,288.4606,299.8601
c155,35.8930,-119.3629,2028,10,4.0,3.3140,312.1245,510.2679
c174,35.8930,-118.7657,2028,10,4.0,2.5288,311.9357,373.1991
c194,35.8930,-118.1371,2028,10,4.0,0.0517,312.9657,255.8052
c755,36.2650,-119.3629,2028,10,4.0,3.9135,300.1835,479.4451
c774,36.2650,-118.7657,2028,10,4.0,1.2941,300.7777,382.9579
c794,36.2650,-118.1371,2028,10,4.0,0.0740,300.4785,335.1370
c1355,36.6370,-119.3629,2028,10,4.0,3.3540,288.2651,564.7405
c1374,36.6370,-118.7657,2028,10,4.0,2.6680,288.1943,403.6477
c1394,36.6370,-118.1371,2028,10,4.0,0.0096,288.1821,293.1756
c155,35.8930,-119.3629,2029,10,5.0,4.1363,312.5465,496.7548
c174,35.8930,-118.7657,2029,10,5.0,3.1355,312.1091,416.6915
c194,35.8930,-118.1371,2029,10,5.0,0.0524,312.1929,281.6244
c755,36.2650,-119.3629,2029,10,5.0,4.8914,300.2699,511.1980
c774,36.2650,-118.7657,2029,10,5.0,2.0309,300.8704,417.6446
c794,36.2650,-118.1371,2029,10,5.0,0.0741,300.8449,227.1969
c1355,36.6370,-119.3629,2029,10,5.0,4.1932,288.4182,553.5516
