cell_id,lat,lon,year,nTrees,meanAge,height,temperature,precipitation
0_0,35.9500,-119.2600,2024,10,0.0,0.47,295.0,400.0
0_0,35.9500,-119.2600,2025,10,1.0,0.52,295.0,400.0
0_0,35.9500,-119.2600,2026,10,2.0,0.57,295.0,400.0
0_0,35.9500,-119.2600,2027,10,3.0,0.63,295.0,400.0
0_0,35.9500,-119.2600,2028,10,4.0,0.69,295.0,400.0
0_0,35.9500,-119.2600,2029,10,5.0,0.76,295.0,400.0
0_0,35.9500,-119.2600,2030,10,6.0,0.83,295.0,400.0
0_0,35.9500,-119.2600,2031,10,7.0,0.91,295.0,400.0
0_0,35.9500,-119.2600,2032,10,8.0,1.00,295.0,400.0
0_0,35.9500,-119.2600,2033,10,9.0,1.09,295.0,400.0
0_0,35.9500,-119.2600,2034,10,10.0,1.19,295.0,400.0
0_0,35.9500,-119.2600,2035,10,11.0,1.30,295.0,400.0
0_0,35.9500,-119.2600,2036,10,12.0,1.42,295.0,400.0
0_0,35.9500,-119.2600,2037,10,13.0,1.54,295.0,400.0
0_0,35.9500,-119.2600,2038,10,14.0,1.68,295.0,400.0
0_0,35.9500,-119.2600,2039,10,15.0,1.82,295.0,400.0
0_0,35.9500,-119.2600,2040,10,16.0,1.98,295.0,400.0
0_0,35.9500,-119.2600,2041,10,17.0,2.14,295.0,400.0
0_0,35.9500,-119.2600,2042,10,18.0,2.31,295.0,400.0
0_0,35.9500,-119.2600,2043,10,19.0,2.50,295.0,400.0
0_0,35.9500,-119.2600,2044,10,20.0,2.69,295.0,400.0
0_0,35.9500,-119.2600,2045,10,21.0,2.89,295.0,400.0
0_0,35.9500,-119.2600,2046,10,22.0,3.10,295.0,400.0
0_0,35.9500,-119.2600,2047,10,23.0,3.32,295.0,400.0
0_0,35.9500,-119.2600,2048,10,24.0,3.54,295.0,400.0
0_0,35.9500,-119.2600,2049,10,25.0,3.78,295.0,400.0
0_0,35.9500,-119.2600,2050,10,26.0,4.01,295.0,400.0
0_0,35.9500,-119.2600,2051,10,27.0,4.26,295.0,400.0
0_0,35.9500,-119.2600,2052,10,28.0,4.50,295.0,400.0
0_0,35.9500,-119.2600,2053,10,29.0,4.75,295.0,400.0
0_0,35.9500,-119.2600,2054,10,30.0,5.00,295.0,400.0
0_0,35.9500,-119.2600,2055,10,31.0,5.25,295.0,400.0
0_0,35.9500,-119.2600,2056,10,32.0,5.50,295.0,400.0
0_0,35.9500,-119.2600,2057,10,33.0,5.74,295.0,400.0
0_0,35.9500,-119.2600,2058,10,34.0,5.99,295.0,400.0
0_0,35.9500,-119.2600,2059,10,35.0,6.22,295.0,400.0
0_0,35.9500,-119.2600,2060,10,36.0,6.46,295.0,400.0
0_0,35.9500,-119.2600,2061,10,37.0,6.68,295.0,400.0
0_0,35.9500,-119.2600,2062,10,38.0,6.90,295.0,400.0
0_0,35.9500,-119.2600,2063,10,39.0,7.11,295.0,400.0
0_0,35.9500,-119.2600,2064,10,40.0,7.31,295.0,400.0
0_0,35.9500,-119.2600,2065,10,41.0,7.50,295.0,400.0
0_0,35.9500,-119.2600,2066,10,42.0,7.69,295.0,400.0
0_0,35.9500,-119.2600,2067,10,43.0,7.86,295.0,400.0
0_0,35.9500,-119.2600,2068,10,44.0,8.02,295.0,400.0
0_0,35.9500,-119.2600,2069,10,45.0,8.18,295.0,400.0
0_0,35.9500,-119.2600,2070,10,46.0,8.32,295.0,400.0
0_0,35.9500,-119.2600,2071,10,47.0,8.46,295.0,400.0
0_0,35.9500,-119.2600,2072,10,48.0,8.58,295.0,400.0
