meanAge,position.longitude,precipitation,position.x,position.y,year,position.latitude,temperature,nTrees,meanHeight,step,replicate
1.0,-119.3629,572.9768,0.1020,0.9000,2024,35.8930,312.7072,10,0.8123,0,0
1.0,-118.7657,451.1201,0.4898,0.9000,2024,35.8930,311.4888,10,0.7978,0,0
1.0,-118.1371,313.2179,0.8980,0.9000,2024,35.8930,311.5572,10,0.0045,0,0
1.0,-119.3629,600.9132,0.1020,0.5000,2024,36.2650,300.4544,10,0.9828,0,0
1.0,-118.7657,360.7234,0.4898,0.5000,2024,36.2650,300.0048,10,0.0871,0,0
1.0,-118.1371,213.2412,0.8980,0.5000,2024,36.2650,299.2853,10,0.0000,0,0
1.0,-119.3629,454.3565,0.1020,0.1000,2024,36.6370,288.1865,10,0.8049,0,0
1.0,-118.7657,395.8893,0.4898,0.1000,2024,36.6370,287.9903,10,0.3695,0,0
1.0,-118.1371,264.1091,0.8980,0.1000,2024,36.6370,287.2515,10,0.0002,0,0
2.0,-119.3629,483.5960,0.1020,0.9000,2025,35.8930,312.8112,10,1.6134,1,0
2.0,-118.7657,459.2918,0.4898,0.9000,2025,35.8930,312.5009,10,1.6016,1,0
2.0,-118.1371,347.1214,0.8980,0.9000,2025,35.8930,312.3185,10,0.0379,1,0
2.0,-119.3629,529.6723,0.1020,0.5000,2025,36.2650,299.8527,10,1.9541,1,0
2.0,-118.7657,377.6989,0.4898,0.5000,2025,36.2650,299.0966,10,0.2944,1,0
2.0,-118.1371,349.4089,0.8980,0.5000,2025,36.2650,300.3747,10,0.0458,1,0
2.0,-119.3629,516.9232,0.1020,0.1000,2025,36.6370,288.0665,10,1.6314,1,0
2.0,-118.7657,423.6895,0.4898,0.1000,2025,36.6370,287.7795,10,1.0327,1,0
2.0,-118.1371,247.0823,0.8980,0.1000,2025,36.6370,287.9972,10,0.0003,1,0
3.0,-119.3629,498.9519,0.1020,0.9000,2026,35.8930,312.2368,10,2.4487,2,0
3.0,-118.7657,479.8158,0.4898,0.9000,2026,35.8930,311.3333,10,2.4710,2,0
3.0,-118.1371,322.2692,0.8980,0.9000,2026,35.8930,311.8668,10,0.0458,2,0
3.0,-119.3629,488.8216,0.1020,0.5000,2026,36.2650,299.3511,10,2.9230,2,0
3.0,-118.7657,366.8110,0.4898,0.5000,2026,36.2650,299.5885,10,0.4112,2,0
3.0,-118.1371,314.5368,0.8980,0.5000,2026,36.2650,300.3510,10,0.0517,2,0
3.0,-119.3629,494.2988,0.1020,0.1000,2026,36.6370,289.0877,10,2.4799,2,0
3.0,-118.7657,429.6189,0.4898,0.1000,2026,36.6370,287.8287,10,1.7357,2,0
3.0,-118.1371,317.8961,0.8980,0.1000,2026,36.6370,288.2294,10,0.0064,2,0
4.0,-119.3629,560.5066,0.1020,0.9000,2027,35.8930,311.6186,10,3.2991,3,0
4.0,-118.7657,434.4406,0.4898,0.9000,2027,35.8930,312.4532,10,3.2081,3,0
4.0,-118.1371,328.3736,0.8980,0.9000,2027,35.8930,312.1327,10,0.0571,3,0
4.0,-119.3629,479.2464,0.1020,0.5000,2027,36.2650,300.6123,10,3.9215,3,0
4.0,-118.7657,415.9980,0.4898,0.5000,2027,36.2650,300.4362,10,1.1280,3,0
4.0,-118.1371,293.0636,0.8980,0.5000,2027,36.2650,300.6147,10,0.0534,3,0
4.0,-119.3629,482.1152,0.1020,0.1000,2027,36.6370,288.3681,10,3.3211,3,0
4.0,-118.7657,508.8136,0.4898,0.1000,2027,36.6370,287.6154,10,2.5730,3,0
4.0,-118.1371,299.8601,0.8980,0.1000,2027,36.6370,288.4606,10,0.0085,3,0
5.0,-119.3629,510.2679,0.1020,0.9000,2028,35.8930,312.1245,10,4.1344,4,0
5.0,-118.7657,373.1991,0.4898,0.9000,2028,35.8930,311.9357,10,3.3473,4,0
5.0,-118.1371,255.8052,0.8980,0.9000,2028,35.8930,312.9657,10,0.0573,4,0
5.0,-119.3629,479.4451,0.1020,0.5000,2028,36.2650,300.1835,10,4.8924,4,0
5.0,-118.7657,382.9579,0.4898,0.5000,2028,36.2650,300.7777,10,1.3905,4,0
5.0,-118.1371,335.1370,0.8980,0.5000,2028,36.2650,300.4785,10,0.0738,4,0
5.0,-119.3629,564.7405,0.1020,0.1000,2028,36.6370,288.2651,10,4.1564,4,0
5.0,-118.7657,403.6477,0.4898,0.1000,2028,36.6370,288.1943,10,3.0306,4,0
5.0,-118.1371,293.1756,0.8980,0.1000,2028,36.6370,288.1821,10,0.0099,4,0
6.0,-119.3629,496.7548,0.1020,0.9000,2029,35.8930,312.5465,10,4.9469,5,0
6.0,-118.7657,416.6915,0.4898,0.9000,2029,35.8930,312.1091,10,3.9433,5,0
6.0,-118.1371,281.6244,0.8980,0.9000,2029,35.8930,312.1929,10,0.0580,5,0
6.0,-119.3629,511.1980,0.1020,0.5000,2029,36.2650,300.2699,10,5.8817,5,0
6.0,-118.7657,417.6446,0.4898,0.5000,2029,36.2650,300.8704,10,2.1179,5,0
6.0,-118.1371,227.1969,0.8980,0.5000,2029,36.2650,300.8449,10,0.0739,5,0
6.0,-119.3629,553.5516,0.1020,0.1000,2029,36.6370,288.4182,10,5.0106,5,0
6.0,-118.7657,342.4809,0.4898,0.1000,2029,36.6370,287.8381,10,3.0558,5,0
6.0,-118.1371,271.2089,0.8980,0.1000,2029,36.6370,288.6833,10,0.0102,5,0
7.0,-119.3629,584.1901,0.1020,0.9000,2030,35.8930,312.5685,10,5.7565,6,0
7.0,-118.7657,392.8995,0.4898,0.9000,2030,35.8930,312.0312,10,4.2749,6,0
7.0,-118.1371,324.8999,0.8980,0.9000,2030,35.8930,311.6259,10,0.0673,6,0
7.0,-119.3629,501.0156,0.1020,0.5000,2030,36.2650,300.3080,10,6.8522,6,0
7.0,-118.7657,409.7306,0.4898,0.5000,2030,36.2650,299.8511,10,2.7670,6,0
7.0,-118.1371,367.5166,0.8980,0.5000,2030,36.2650,300.6108,10,0.1997,6,0
7.0,-119.3629,552.7473,0.1020,0.1000,2030,36.6370,288.8588,10,5.8428,6,0
7.0,-118.7657,376.7594,0.4898,0.1000,2030,36.6370,288.2001,10,3.2250,6,0
7.0,-118.1371,255.9835,0.8980,0.1000,2030,36.6370,288.2890,10,0.0104,6,0
8.0,-119.3629,506.1121,0.1020,0.9000,2031,35.8930,311.9975,10,6.6033,7,0
8.0,-118.7657,379.1802,0.4898,0.9000,2031,35.8930,312.6925,10,4.4575,7,0
8.0,-118.1371,301.2250,0.8980,0.9000,2031,35.8930,312.1333,10,0.0695,7,0
8.0,-119.3629,533.3936,0.1020,0.5000,2031,36.2650,299.7879,10,7.8867,7,0
8.0,-118.7657,423.7862,0.4898,0.5000,2031,36.2650,300.7766,10,3.5554,7,0
8.0,-118.1371,270.2541,0.8980,0.5000,2031,36.2650,299.9286,10,0.2001,7,0
8.0,-119.3629,516.3356,0.1020,0.1000,2031,36.6370,288.8652,10,6.7198,7,0
8.0,-118.7657,329.1685,0.4898,0.1000,2031,36.6370,288.3007,10,3.2373,7,0
8.0,-118.1371,375.7445,0.8980,0.1000,2031,36.6370,288.2581,10,0.1680,7,0
9.0,-119.3629,554.7706,0.1020,0.9000,2032,35.8930,312.8490,10,7.4142,8,0
9.0,-118.7657,344.8221,0.4898,0.9000,2032,35.8930,312.2987,10,4.4860,8,0
9.0,-118.1371,305.2761,0.8980,0.9000,2032,35.8930,312.3347,10,0.0724,8,0
9.0,-119.3629,505.7476,0.1020,0.5000,2032,36.2650,300.6648,10,8.8840,8,0
9.0,-118.7657,356.9469,0.4898,0.5000,2032,36.2650,301.1895,10,3.6262,8,0
9.0,-118.1371,235.4717,0.8980,0.5000,2032,36.2650,300.1228,10,0.2002,8,0
9.0,-119.3629,527.9495,0.1020,0.1000,2032,36.6370,286.8449,10,7.5077,8,0
9.0,-118.7657,358.3306,0.4898,0.1000,2032,36.6370,288.1498,10,3.2997,8,0
9.0,-118.1371,313.4058,0.8980,0.1000,2032,36.6370,288.6205,10,0.1729,8,0
10.0,-119.3629,485.2286,0.1020,0.9000,2033,35.8930,311.7523,10,8.2367,9,0
10.0,-118.7657,384.0675,0.4898,0.9000,2033,35.8930,312.6298,10,4.7156,9,0
10.0,-118.1371,254.6936,0.8980,0.9000,2033,35.8930,312.5002,10,0.0725,9,0
10.0,-119.3629,565.2759,0.1020,0.5000,2033,36.2650,299.8213,10,9.8652,9,0
10.0,-118.7657,347.8149,0.4898,0.5000,2033,36.2650,300.3483,10,3.6682,9,0
10.0,-118.1371,271.2024,0.8980,0.5000,2033,36.2650,301.1691,10,0.2006,9,0
10.0,-119.3629,514.7373,0.1020,0.1000,2033,36.6370,288.6053,10,8.3859,9,0
10.0,-118.7657,357.0962,0.4898,0.1000,2033,36.6370,288.4312,10,3.3606,9,0
10.0,-118.1371,235.5746,0.8980,0.1000,2033,36.6370,288.0909,10,0.1729,9,0
11.0,-119.3629,484.5411,0.1020,0.9000,2034,35.8930,312.5544,10,9.0872,10,0
11.0,-118.7657,396.3104,0.4898,0.9000,2034,35.8930,312.0967,10,5.0877,10,0
11.0,-118.1371,307.8630,0.8980,0.9000,2034,35.8930,312.5498,10,0.0758,10,0
11.0,-119.3629,507.9041,0.1020,0.5000,2034,36.2650,301.3875,10,10.8647,10,0
11.0,-118.7657,387.6721,0.4898,0.5000,2034,36.2650,300.9086,10,3.9899,10,0
11.0,-118.1371,247.6610,0.8980,0.5000,2034,36.2650,299.4554,10,0.2008,10,0
11.0,-119.3629,479.1722,0.1020,0.1000,2034,36.6370,288.6861,10,9.2527,10,0
11.0,-118.7657,393.1379,0.4898,0.1000,2034,36.6370,288.5175,10,3.6966,10,0
11.0,-118.1371,235.7578,0.8980,0.1000,2034,36.6370,288.7790,10,0.1729,10,0
