cell_id,lat,lon,year,nTrees,meanAge,meanHeight,temperature,precipitation
c155,35.8930,-119.3629,2024,10,1.0,0.8156,312.7072,572.9768
c174,35.8930,-118.7657,2024,10,1.0,0.8260,311.4888,451.1201
c194,35.8930,-118.1371,2024,10,1.0,0.0048,311.5572,313.2179
c755,36.2650,-119.3629,2024,10,1.0,0.9972,300.4544,600.9132
c774,36.2650,-118.7657,2024,10,1.0,0.0839,300.0048,360.7234
c794,36.2650,-118.1371,2024,10,1.0,0.0000,299.2853,213.2412
c1355,36.6370,-119.3629,2024,10,1.0,0.8099,288.1865,454.3565
c1374,36.6370,-118.7657,2024,10,1.0,0.3685,287.9903,395.8893
c1394,36.6370,-118.1371,2024,10,1.0,0.0002,287.2515,264.1091
c155,35.8930,-119.3629,2025,10,2.0,1.6298,312.8112,483.5960
c174,35.8930,-118.7657,2025,10,2.0,1.6321,312.5009,459.2918
c194,35.8930,-118.1371,2025,10,2.0,0.0382,312.3185,347.1214
c755,36.2650,-119.3629,2025,10,2.0,2.0176,299.8527,529.6723
c774,36.2650,-118.7657,2025,10,2.0,0.2937,299.0966,377.6989
c794,36.2650,-118.1371,2025,10,2.0,0.0461,300.3747,349.4089
c1355,36.6370,-119.3629,2025,10,2.0,1.6657,288.0665,516.9232
c1374,36.6370,-118.7657,2025,10,2.0,1.0376,287.7795,423.6895
c1394,36.6370,-118.1371,2025,10,2.0,0.0003,287.9972,247.0823
c155,35.8930,-119.3629,2026,10,3.0,2.4497,312.2368,498.9519
c174,35.8930,-118.7657,2026,10,3.0,2.4483,311.3333,479.8158
c194,35.8930,-118.1371,2026,10,3.0,0.0461,311.8668,322.2692
c755,36.2650,-119.3629,2026,10,3.0,3.0031,299.3511,488.8216
c774,36.2650,-118.7657,2026,10,3.0,0.4147,299.5885,366.8110
c794,36.2650,-118.1371,2026,10,3.0,0.0520,300.3510,314.5368
c1355,36.6370,-119.3629,2026,10,3.0,2.5163,289.0877,494.2988
c1374,36.6370,-118.7657,2026,10,3.0,1.7589,287.8287,429.6189
c1394,36.6370,-118.1371,2026,10,3.0,0.0063,288.2294,317.8961
c155,35.8930,-119.3629,2027,10,4.0,3.3043,311.6186,560.5066
c174,35.8930,-118.7657,2027,10,4.0,3.1757,312.4532,434.4406
c194,35.8930,-118.1371,2027,10,4.0,0.0573,312.1327,328.3736
c755,36.2650,-119.3629,2027,10,4.0,3.9982,300.6123,479.2464
c774,36.2650,-118.7657,2027,10,4.0,1.1227,300.4362,415.9980
c794,36.2650,-118.1371,2027,10,4.0,0.0536,300.6147,293.0636
c1355,36.6370,-119.3629,2027,10,4.0,3.3677,288.3681,482.1152
c1374,36.6370,-118.7657,2027,10,4.0,2.5645,287.6154,508.8136
c1394,36.6370,-118.1371,2027,10,4.0,0.0084,288.4606,299.8601
c155,35.8930,-119.3629,2028,10,5.0,4.1436,312.1245,510.2679
c174,35.8930,-118.7657,2028,10,5.0,3.3165,311.9357,373.1991
c194,35.8930,-118.1371,2028,10,5.0,0.0574,312.9657,255.8052
c755,36.2650,-119.3629,2028,10,5.0,4.9949,300.1835,479.4451
c774,36.2650,-118.7657,2028,10,5.0,1.3808,300.7777,382.9579
c794,36.2650,-118.1371,2028,10,5.0,0.0737,300.4785,335.1370
c1355,36.6370,-119.3629,2028,10,5.0,4.2149,288.2651,564.7405
c1374,36.6370,-118.7657,2028,10,5.0,3.0276,288.1943,403.6477
c1394,36.6370,-118.1371,2028,10,5.0,0.0098,288.1821,293.1756
c155,35.8930,-119.3629,2029,10,6.0,4.9573,312.5465,496.7548
c174,35.8930,-118.7657,2029,10,6.0,3.9269,312.1091,416.6915
c194,35.8930,-118.1371,2029,10,6.0,0.0581,312.1929,281.6244
c755,36.2650,-119.3629,2029,10,6.0,5.9776,300.2699,511.1980
c774,36.2650,-118.7657,2029,10,6.0,2.1147,300.8704,417.6446
c794,36.2650,-118.1371,2029,10,6.0,0.0737,300.8449,227.1969
c1355,36.6370,-119.3629,2029,10,6.0,5.0571,288.4182,553.5516
c1374,36.6370,-118.7657,2029,10,6.0,3.0534,287.8381,342.4809
c1394,36.6370,-118.1371,2029,10,6.0,0.0102,288.6833,271.2089
c155,35.8930,-119.3629,2030,10,7.0,5.8042,312.5685,584.1901
c174,35.8930,-118.7657,2030,10,7.0,4.2611,312.0312,392.8995
c194,35.8930,-118.1371,2030,10,7.0,0.0676,311.6259,324.8999
c755,36.2650,-119.3629,2030,10,7.0,6.9721,300.3080,501.0156
c774,36.2650,-118.7657,2030,10,7.0,2.7651,299.8511,409.7306
c794,36.2650,-118.1371,2030,10,7.0,0.1953,300.6108,367.5166
c1355,36.6370,-119.3629,2030,10,7.0,5.9148,288.8588,552.7473
c1374,36.6370,-118.7657,2030,10,7.0,3.2236,288.2001,376.7594
c1394,36.6370,-118.1371,2030,10,7.0,0.0103,288.2890,255.9835
c155,35.8930,-119.3629,2031,10,8.0,6.6208,311.9975,506.1121
c174,35.8930,-118.7657,2031,10,8.0,4.4459,312.6925,379.1802
c194,35.8930,-118.1371,2031,10,8.0,0.0698,312.1333,301.2250
c755,36.2650,-119.3629,2031,10,8.0,7.9789,299.7879,533.3936
c774,36.2650,-118.7657,2031,10,8.0,3.5623,300.7766,423.7862
c794,36.2650,-118.1371,2031,10,8.0,0.1957,299.9286,270.2541
c1355,36.6370,-119.3629,2031,10,8.0,6.7680,288.8652,516.3356
c1374,36.6370,-118.7657,2031,10,8.0,3.2354,288.3007,329.1685
c1394,36.6370,-118.1371,2031,10,8.0,0.1694,288.2581,375.7445
c155,35.8930,-119.3629,2032,10,9.0,7.4432,312.8490,554.7706
c174,35.8930,-118.7657,2032,10,9.0,4.4752,312.2987,344.8221
c194,35.8930,-118.1371,2032,10,9.0,0.0727,312.3347,305.2761
c755,36.2650,-119.3629,2032,10,9.0,8.9499,300.6648,505.7476
c774,36.2650,-118.7657,2032,10,9.0,3.6321,301.1895,356.9469
c794,36.2650,-118.1371,2032,10,9.0,0.1958,300.1228,235.4717
c1355,36.6370,-119.3629,2032,10,9.0,7.5755,286.8449,527.9495
c1374,36.6370,-118.7657,2032,10,9.0,3.2983,288.1498,358.3306
c1394,36.6370,-118.1371,2032,10,9.0,0.1741,288.6205,313.4058
c155,35.8930,-119.3629,2033,10,10.0,8.2614,311.7523,485.2286
c174,35.8930,-118.7657,2033,10,10.0,4.7039,312.6298,384.0675
c194,35.8930,-118.1371,2033,10,10.0,0.0728,312.5002,254.6936
c755,36.2650,-119.3629,2033,10,10.0,9.9640,299.8213,565.2759
c774,36.2650,-118.7657,2033,10,10.0,3.6738,300.3483,347.8149
c794,36.2650,-118.1371,2033,10,10.0,0.1962,301.1691,271.2024
c1355,36.6370,-119.3629,2033,10,10.0,8.4414,288.6053,514.7373
c1374,36.6370,-118.7657,2033,10,10.0,3.3569,288.4312,357.0962
c1394,36.6370,-118.1371,2033,10,10.0,0.1741,288.0909,235.5746
c155,35.8930,-119.3629,2034,10,11.0,9.0834,312.5544,484.5411
c174,35.8930,-118.7657,2034,10,11.0,5.0762,312.0967,396.3104
c194,35.8930,-118.1371,2034,10,11.0,0.0760,312.5498,307.8630
c755,36.2650,-119.3629,2034,10,11.0,10.9489,301.3875,507.9041
c774,36.2650,-118.7657,2034,10,11.0,4.0014,300.9086,387.6721
c794,36.2650,-118.1371,2034,10,11.0,0.1963,299.4554,247.6610
c1355,36.6370,-119.3629,2034,10,11.0,9.3044,288.6861,479.1722
c1374,36.6370,-118.7657,2034,10,11.0,3.6907,288.5175,393.1379
c1394,36.6370,-118.1371,2034,10,11.0,0.1742,288.7790,235.7578
c155,35.8930,-119.3629,2035,10,12.0,9.9181,313.2287,494.9720
c174,35.8930,-118.7657,2035,10,12.0,5.1492,313.0858,361.0547
c194,35.8930,-118.1371,2035,10,12.0,0.0761,312.7692,249.9040
c755,36.2650,-119.3629,2035,10,12.0,11.9189,300.3411,453.7766
c774,36.2650,-118.7657,2035,10,12.0,4.5733,300.6323,404.9804
c794,36.2650,-118.1371,2035,10,12.0,0.1965,301.0924,255.4650
c1355,36.6370,-119.3629,2035,10,12.0,10.1659,288.8917,479.5969
c1374,36.6370,-118.7657,2035,10,12.0,4.2762,288.0619,413.3471
c1394,36.6370,-118.1371,2035,10,12.0,0.1759,289.0852,296.0614
c155,35.8930,-119.3629,2036,10,13.0,10.7593,312.0077,534.2824
c174,35.8930,-118.7657,2036,10,13.0,5.5329,313.3001,398.5876
c194,35.8930,-118.1371,2036,10,13.0,0.0791,313.0130,307.0217
